Rank	Cites	Item	Typically Cited In
211	16	Mcdowell J 1982 P Brit Acad	Nous, Philosophical Review
211	16	Stalnaker R 1999 Context Content	Philosophical Review, Nous
211	16	Zimmerman D 1995 Philos Rev	Nous, Philosophical Review
211	16	Field H 1973 J Philos	Philosophical Review, Nous
211	16	Armstrong D 1973 Belief Truth Knowled	Philosophical Review, Mind
211	16	Searle J 1969 Speech Acts Essay Ph	Mind, Nous
211	16	Bennett J 1988 Events Their Names	Mind, Philosophical Review
233	15	Mele A 1992 Springs Action Under	Philosophical Review, Nous
233	15	Brewer B 1999 Perception Reason	Nous, Philosophical Review
233	15	Peacocke C 1999 Being Known	Nous, Philosophical Review
233	15	Kaplan M 1996 Decision Theory Phil	Philosophical Review, Nous
233	15	Blackburn S 1998 Ruling Passions Theo	Mind, Nous
233	15	Dennett D 1978 Brainstorms	Journal of Philosophy, Philosophical Review
233	15	Gauthier D 1986 Morals Agreement	Journal of Philosophy, Mind
233	15	Bennett J 2003 Philos Guide Conditi	Philosophical Review, Nous
233	15	Joyce J 1999 Fdn Causal Decision	Philosophical Review, Mind
233	15	Skyrms B 1980 Causal Necessity	Philosophical Review, Mind
233	15	Jackson F 1987 Conditionals	Mind, Philosophical Review
233	15	Sorensen R 1988 Blindspots	Philosophical Review, Mind
233	15	Margalit A 1979 Meaning Use	Nous, Mind
233	15	Vaninwagen P 1990 Nous	Nous, Philosophical Review
233	15	Russell B 1919 Intro Math Philos	Mind, Nous
233	15	Fodor J 1975 Language Thought	Journal of Philosophy, Philosophical Review
233	15	Derose K 2002 Philos Rev	Philosophical Review, Nous
233	15	Bennett J 1984 Philos Rev	Mind, Nous
233	15	Pollock J 1999 Cont Theories Knowel	Nous, Mind
233	15	Burge T 1988 J Philos	Philosophical Review, Nous
233	15	Salmon N 1981 Reference Essence	Mind, Philosophical Review
233	15	Fantl J 2002 Philos Rev	Nous, Philosophical Review
233	15	Strawson P 1950 Mind	Mind, Nous
233	15	Frege G 1879 Begriffsschrift	Mind, Philosophical Review
233	15	Derose K 1991 Philos Rev	Philosophical Review, Nous
233	15	Williams B 1978 Descartes Project Pu	Mind, Philosophical Review
233	15	Perry J 1977 Philos Rev	Philosophical Review, Nous
233	15	Davidson D 1990 J Philos	Journal of Philosophy, Mind
233	15	Noe A 2004 Action Perception	Philosophical Review, Nous
262	14	Dancy J 1993 Moral Reasons	Nous, Mind
262	14	Dancy J 2000 Practical Reality	Nous, Mind
262	14	Gibbard A 2003 Thinking Live	Nous, Philosophical Review
262	14	Dennett D 1984 Elbow Room	Philosophical Review, Nous
262	14	Stanley J 2001 J Philos	Journal of Philosophy, Mind
262	14	Papineau D 1993 Philos Naturalism	Philosophical Review, Nous
262	14	Devitt M 1996 Coming Our Senses Na	Nous, Journal of Philosophy
262	14	Campbell K 1990 Abstract Particulars	Mind, Journal of Philosophy
262	14	Lewis D 1981 Theoria	Philosophical Review, Journal of Philosophy
262	14	Frankfurt H 1971 J Philos	Mind, Philosophical Review
262	14	Kim J 1998 Mind Phys World Essa	Nous, Philosophical Review
262	14	Salmon N 1998 Nous	Philosophical Review, Journal of Philosophy
262	14	Martin M 2002 Mind Lang	Nous, Mind
262	14	Block N 1995 Behav Brain Sci	Nous, Philosophical Review
262	14	Davidson D 1963 J Philos	Philosophical Review, Mind
262	14	Quine W No Year No Source	Journal of Philosophy, Nous
262	14	Foot P 1978 Virtues Vices Other	Philosophical Review, Mind
262	14	Rawls J 1993 Political Liberalism	Journal of Philosophy, Philosophical Review
262	14	Martin M 2004 Philos Stud	Nous, Mind
262	14	Larson R 1993 Synthese	Nous, Philosophical Review
262	14	Merricks T 1994 J Philos	Philosophical Review, Mind
262	14	Lewis D 1989 P Aristotelian Soc S	Philosophical Review, Nous
262	14	Soames S 1999 Understanding Truth	Mind, Nous
262	14	Hintikka J 1962 Knowledge Belief Int	Philosophical Review, Mind
262	14	Hitchcock C 2001 J Philos	Philosophical Review, Journal of Philosophy
262	14	Armstrong D 1978 Theory Universals Un	Nous, Mind
288	13	Mele A 1995 Autonomous Agents Se	Philosophical Review, Nous
288	13	Unger P 1980 Midwest Stud Philos	Journal of Philosophy, Nous
288	13	Peacocke C 2004 Realm Reason	Nous, Mind
288	13	Davies M 1981 Meaning Quantificati	Mind, Nous
288	13	Leonard H 1940 J Symbolic Logic	Journal of Philosophy, Mind
288	13	Scheffler S 1982 Rejection Consequent	Journal of Philosophy, Mind
288	13	Stalnaker R 1978 Syntax Semantics	Philosophical Review, Mind
288	13	Kant I No Year No Source	Journal of Philosophy, Philosophical Review
288	13	Mcginn C 1991 Problem Consciousnes	Mind, Nous
288	13	Quine W No Year No Source	Mind, Nous
288	13	Boolos G 1985 Philos Rev	Mind, Nous
288	13	Evans G 1977 Can J Philos	Mind, Philosophical Review
288	13	Carroll L 1895 Mind	Mind, Journal of Philosophy
288	13	Goldman A 1970 Theory Human Action	Philosophical Review, Nous
288	13	Herman B 1993 Practice Moral Judgm	Philosophical Review, Journal of Philosophy
288	13	Dummett M 1975 Synthese	Mind, Philosophical Review
288	13	Maddy P 1990 Realism Math	Philosophical Review, Mind
288	13	Block N 1986 Midwest Stud Philos	Journal of Philosophy, Nous
288	13	Burge T 1986 J Philos	Nous, Mind
288	13	Darwall S 1983 Impartial Reason	Philosophical Review, Nous
288	13	Mcginn C 1989 Mental Content	Philosophical Review, Mind
288	13	Lewis D 1999 Papers Metaphysics E	Philosophical Review, Nous
288	13	Quine W 1951 Philos Rev	Journal of Philosophy, Mind
288	13	Craig E 1990 Knowledge State Nati	Philosophical Review, Mind
288	13	Chisholm R 1977 Theory Knowledge	Nous, Philosophical Review
288	13	Frege G 1884 Grundlagen Arithmeti	Mind, Philosophical Review
288	13	Frege G No Year No Source	Journal of Philosophy, Philosophical Review
288	13	Unger P 1984 Philos Relativity	Nous, Philosophical Review
288	13	Railton P 1986 Philos Rev	Nous, Philosophical Review
288	13	Ginet C 1975 Knowledge Perception	Philosophical Review, Mind
288	13	Marr D 1982 Vision	Nous, Journal of Philosophy
288	13	Byrne A 2003 Behav Brain Sci	Philosophical Review, Nous
288	13	Stroud B 1984 Significance Philos	Nous, Philosophical Review
288	13	Hilbert D 1987 Color Color Percepti	Philosophical Review, Mind
288	13	Byrne A 2001 Philos Rev	Nous, Mind
288	13	Armstrong D 1968 Materialist Theory M	Mind, Nous
324	12	Stanley J 2000 Linguist Philos	Nous, Philosophical Review
324	12	Crimmins M 1992 Talk Beliefs	Nous, Philosophical Review
324	12	Sosa E 2007 Virtue Epistemology	Nous, Mind
324	12	Baker L 2000 Persons Bodies Const	Philosophical Review, Mind
324	12	Hajek A 2003 Synthese	Philosophical Review, Mind
324	12	Frege G 1893 Grundgesetze Arithme	Mind, Philosophical Review
324	12	Brandt R 1979 Theory Good Right	Nous, Mind
324	12	Parsons T 1980 Nonexistent Objects	Philosophical Review, Journal of Philosophy
324	12	Bach K 1997 Pac Philos Quart	Nous, Mind
324	12	Block N 1999 Philos Rev	Nous, Journal of Philosophy
324	12	Bird A 1998 Philos Quart	Mind, Nous
324	12	Unger P 1979 Synthese	Nous, Mind
324	12	Mcginn C 1983 Subjective View Seco	Philosophical Review, Nous
324	12	Harman G 1977 Nature Morality	Nous, Journal of Philosophy
324	12	Travis C 2004 Mind	Nous, Philosophical Review
324	12	Dummett M 1977 Elements Intuitionis	Mind, Journal of Philosophy
324	12	Earman J 1992 Bayes Bust Critical	Mind, Philosophical Review
324	12	Burke M 1992 Analysis	Philosophical Review, Nous
324	12	Field H 1986 Fact Sci Morality	Mind, Nous
324	12	Salmon N 1988 Propositions Attitud	Mind, Philosophical Review
324	12	Broome J 1999 Ratio	Nous, Philosophical Review
324	12	Hart H 1961 Concept Law	Journal of Philosophy, Nous
324	12	Searle J 1995 Construction Social	Mind, Nous
324	12	Kripke S 1963 Acta Philos Fenn	Philosophical Review, Journal of Philosophy
324	12	Lewis D 1980 Studies Interactive	Mind, Philosophical Review
324	12	Merricks T 2001 Objects Persons	Philosophical Review, Nous
324	12	Watson G 1975 J Philos	Philosophical Review, Nous
324	12	Pereboom D 2001 Living Free Will	Philosophical Review, Journal of Philosophy
324	12	Johnston M 1992 Mind	Journal of Philosophy, Philosophical Review
324	12	Barwise J 1983 Situations Attitudes	Philosophical Review, Nous
324	12	Salmon N 1989 Philos Rev	Mind, Philosophical Review
324	12	Frege G 1918 Beitrage Philos Dtsc	Mind, Philosophical Review
324	12	Horwich P 1998 Meaning	Mind, Nous
324	12	Maher P 1993 Betting Theories	Philosophical Review, Mind
324	12	Evans G 1978 Analysis	Journal of Philosophy, Nous
324	12	Unger P 1975 Ignorance	Nous, Philosophical Review
324	12	Boolos G 1998 Logic Logic Logic	Nous, Philosophical Review
324	12	Tarski A 1956 Logic Semantics Meta	Journal of Philosophy, Mind
324	12	Clark A 1998 Analysis	Journal of Philosophy, Mind
363	11	Geach P 1965 Philos Rev	Nous, Mind
363	11	French P 1979 Cont Perspectives Ph	Mind, Nous
363	11	Churchland P 1989 Neurocomputational P	Journal of Philosophy, Nous
363	11	Vaninwagen P 1981 Pac Philos Quart	Philosophical Review, Mind
363	11	May R 1985 Logical Form Its Str	Nous, Mind
363	11	Bonjour L 1998 Defense Pure Reason	Nous, Philosophical Review
363	11	Vanfraassen B 1995 Philos Stud	Philosophical Review, Mind
363	11	Moore G 1912 Ethics	Philosophical Review, Mind
363	11	Wright C 1991 Mind	Nous, Philosophical Review
363	11	Mumford S 1998 Dispositions	Mind, Philosophical Review
363	11	Crimmins M 1998 Philos Rev	Nous, Philosophical Review
363	11	Lewis D 1986 Australas J Philos	Mind, Nous
363	11	Williams B 1981 Moral Luck	Philosophical Review, Nous
363	11	Wallace R 1994 Responsibility Moral	Philosophical Review, Nous
363	11	Frege G 1984 Collected Papers Mat	Mind, Philosophical Review
363	11	Davidson D 1967 Synthese	Mind, Nous
363	11	Tarski A 1983 Logic Semantic	Mind, Philosophical Review
363	11	Ginet C 1996 Philos Perspectives	Philosophical Review, Journal of Philosophy
363	11	Mcdowell J 1979 Monist	Philosophical Review, Journal of Philosophy
363	11	Field H 1994 Philos Rev	Nous, Mind
363	11	Cartwright N 1983 How Laws Physics Lie	Nous, Mind
363	11	Sidgwick H 1907 Methods Ethics	Philosophical Review, Mind
363	11	Munitz M 1971 Identity Individuati	Journal of Philosophy, Nous
363	11	Vaninwagen P 1980 Time Cause	Philosophical Review, Mind
363	11	Braun D 1998 Philos Rev	Nous, Philosophical Review
363	11	Salmon N 1989 Philos Perspectives	Nous, Philosophical Review
363	11	Jackson F 1979 Philos Rev	Philosophical Review, Mind
363	11	Mcgee V 1991 Truth Vagueness Para	Mind, Philosophical Review
363	11	Cappelen H 2005 Insensitive Semantic	Nous, Philosophical Review
363	11	Katz J 1994 Philos Rev	Philosophical Review, Journal of Philosophy
363	11	Sher G 1991 Bounds Logic	Philosophical Review, Mind
363	11	Dowe P 2000 Phys Causation	Philosophical Review, Journal of Philosophy
363	11	Soames S 1989 Philos Perspectives	Nous, Mind
363	11	Bach K 1979 Linguistic Communica	Nous, Mind
363	11	Byrne A 1997 Readings Color Philo	Mind, Philosophical Review
363	11	Lepore E 1986 Truth Interpretation	Philosophical Review, Mind
363	11	Anscombe G 1957 Intention	Nous, Mind
363	11	Benacerraf P 1983 Philos Math	Philosophical Review, Mind
363	11	Goodman N 1951 Structure Apeparance	Mind, Nous
363	11	Foley R 1987 Theory Epistemic Rat	Nous, Philosophical Review
363	11	Shoemaker S 1984 Identity Cause Mind	Nous, Philosophical Review
363	11	Putnam H 1975 Philos Papers Math M	Journal of Philosophy, Nous
363	11	Montague R 1974 Formal Philosophy Se	Philosophical Review, Mind
363	11	Bealer G 1982 Quality Concept	Mind, Nous
363	11	Kyburg H 1961 Probability Logic Ra	Philosophical Review, Journal of Philosophy
363	11	Chomsky N 2000 New Horizons Study L	Nous, Mind
363	11	Geach P 1980 Reference Gen	Philosophical Review, Journal of Philosophy
363	11	Williamson T 2007 Philos Philos	Mind, Philosophical Review
363	11	Hurley S 1998 Consciousness Action	Philosophical Review, Mind
363	11	Evans G 1976 Truth Meaning Essays	Mind, Nous
363	11	Mackie J 1974 Cement Universe Stud	Nous, Philosophical Review
363	11	Burke M 1994 Philos Phenomen Res	Philosophical Review, Mind
363	11	Kagan S 1989 Limits Morality	Nous, Philosophical Review
363	11	Korsgaard C 1986 J Philos	Mind, Nous
363	11	Kim J 1973 J Philos	Nous, Mind
363	11	Adams R 1979 J Philos	Journal of Philosophy, Mind
363	11	Davidson D 1969 Words Objections Ess	Philosophical Review, Mind
363	11	Markosian N 1998 Philos Stud	Nous, Philosophical Review
363	11	Lewis D 1992 Australas J Philos	Philosophical Review, Nous
363	11	Richard M 1983 J Philos Logic	Nous, Philosophical Review
363	11	Mcginn C 1982 Character Mind	Mind, Nous
